基準点コード,等級種別,冠字,選点番号,基準点名,ワンストップ可否,登録年月日,成果区分,北緯,東経,標高,楕円体高,標高区分,平面直角座標系,X,Y,現況状態,現況年月日,都道府県名,自治体名
TR14831637701,一等三角点,桑,９,速日岳,○,20250401,世界測地系（測地成果2024）,323338.3297,1312747.5465,867.96,,,2,-48624.975,43497.339,正常,20010724,宮崎県,延岡市
TR14931048101,一等三角点,館,２,祝子川山,○,20250401,世界測地系（測地成果2024）,324415.7722,1313047.1683,1643.27,,,2,-28968.665,48087.894,正常,20100508,宮崎県,延岡市
TR14931064003,一等三角点,館,３,鏡山,○,20250401,世界測地系（測地成果2024）,324202.3810,1314526.9176,645.28,,,2,-32940.235,71020.507,正常,20060324,宮崎県,延岡市
TR24831645501,二等三角点,知,７,烏帽子岳,○,20250401,世界測地系（測地成果2024）,323238.5488,1313353.6529,362.15,,,2,-50420.241,53056.979,報告なし,19900914,宮崎県,延岡市
TR24831657301,二等三角点,知,３,愛宕山,○,20250401,世界測地系（測地成果2024）,323330.7396,1313951.7913,251.25,,,2,-48758.716,62390.763,正常,20050714,宮崎県,延岡市
TR24831744001,二等三角点,奴,２８,横尾,○,20250401,世界測地系（測地成果2024）,323701.0120,1313013.1729,630.84,,,2,-42364.666,47266.431,正常,20090701,宮崎県,延岡市
TR24831745501,二等三角点,奴,２５,行騰山,○,20250401,世界測地系（測地成果2024）,323733.3673,1313420.1774,829.89,,,2,-41335.453,53700.150,報告なし,19910110,宮崎県,延岡市
TR24831755701,二等三角点,奴,１８,川島,○,20250401,世界測地系（測地成果2024）,323742.5849,1314323.6048,290.10,,,2,-40965.179,67863.366,報告なし,19941031,宮崎県,延岡市
TR24831758201,二等三角点,奴,１６,可愛山,○,20250401,世界測地系（測地成果2024）,323922.0710,1313921.6533,727.73,,,2,-37941.659,61537.814,報告なし,19910110,宮崎県,延岡市
TR24831769501,二等三角点,奴,１９,島野浦,○,20250401,世界測地系（測地成果2024）,323954.7166,1314917.0427,185.27,,,2,-36828.125,77044.551,正常,20040609,宮崎県,延岡市
TR24931048701,二等三角点,奴,１７,黒原峠,○,20250401,世界測地系（測地成果2024）,324403.0271,1313556.9344,880.80,,,2,-29318.922,56154.463,報告なし,20011220,宮崎県,延岡市
TR24931054501,二等三角点,奴,１５,伊良原,○,20250401,世界測地系（測地成果2024）,324229.5432,1314127.0113,429.43,,,2,-32146.219,64766.744,報告なし,19910110,宮崎県,延岡市
TR24931150901,二等三角点,奴,１４,寺尾山,○,20250401,世界測地系（測地成果2024）,324513.1788,1314429.1085,510.12,,,2,-27073.645,69473.757,報告なし,19980830,宮崎県,延岡市
TR24931159901,二等三角点,奴,１２,中之嶺,○,20250401,世界測地系（測地成果2024）,324959.0932,1314440.2443,548.53,,,2,-18264.368,69701.629,正常,20181215,宮崎県,延岡市
TR34831637501,三等三角点,礼,４５,武田ノ内,○,20250401,世界測地系（測地成果2024）,323333.0372,1312631.5926,877.48,,,2,-48796.418,41516.770,正常,20060618,宮崎県,延岡市
TR34831639701,三等三角点,礼,４６,速日,○,20250401,世界測地系（測地成果2024）,323459.3594,1312822.6074,653.21,,,2,-46125.073,44400.807,正常,20040630,宮崎県,延岡市
TR34831642901,三等三角点,礼,６０,黒原,○,20250401,世界測地系（測地成果2024）,323103.2476,1313709.6605,351.68,,,2,-53327.293,58187.864,報告なし,19730802,宮崎県,延岡市
TR34831644901,三等三角点,礼,５４,大谷,○,20250401,世界測地系（測地成果2024）,323220.3864,1313718.9357,350.45,,,2,-50949.842,58416.056,報告なし,00000000,宮崎県,延岡市
TR34831646101,三等三角点,礼,４７,古畑,○,20250401,世界測地系（測地成果2024）,323303.5673,1313046.9141,267.56,,,2,-49674.275,48181.287,報告なし,19820628,宮崎県,延岡市
TR34831646801,三等三角点,礼,５７,高取山,○,20250401,世界測地系（測地成果2024）,323328.8424,1313601.7473,264.86,,,2,-48852.802,56390.212,報告なし,00000000,宮崎県,延岡市
TR34831648101,三等三角点,礼,４８,広篠,○,20250401,世界測地系（測地成果2024）,323424.6453,1313108.3258,191.97,,,2,-47174.196,48727.695,正常,20061021,宮崎県,延岡市
TR34831648401,三等三角点,礼,３９,黒仁田,○,20250401,世界測地系（測地成果2024）,323408.1621,1313316.6767,110.17,,,2,-47665.029,52077.896,正常,20091106,宮崎県,延岡市
TR34831648701,三等三角点,礼,４０,赤水越,○,20250401,世界測地系（測地成果2024）,323424.8138,1313524.5137,102.64,,,2,-47134.187,55409.382,正常,20091106,宮崎県,延岡市
